Date,Open,High,Low,Close,Adj Close,Volume,S&P500,SOX,VIX,KOSPI,kosATR,kosADX14,log_return,CCI,MA10,MA60,MA60_volumne,RASD5,RASD10,MACD,CCI60,ATR14,MTM3,ROC60,ROC90,WPR14,ADXR14,ADX14
2006-09-14,39750.0,40100.0,39500.0,40000.0,36774.80859375,153680,1316.280029296875,463.8299865722656,11.550000190734865,1358.75,16.79201973422628,15.769949823846895,0.00501267473301039,-70.0694840851991,40280.0,,,433.58520732439166,377.41588415647755,-481.4342281037025,,772.162116330681,200.0,,-0.497512437810943,-59.01639344262295,22.518219082417502,20.75301654652628
2006-09-15,40050.0,42100.0,40050.0,41500.0,38153.8515625,247760,1319.6600341796875,464.3900146484375,11.760000228881836,1361.0999755859375,16.30258556794226,16.120020971895304,0.03681364934115517,57.981212552374416,40295.0,,,525.9079834306789,443.7121995080626,-349.4655732090105,,867.0076794499181,2550.0,,2.595797280593315,-17.91044776119403,22.234674710166217,20.62110322515642
2006-09-18,41500.0,42100.0,41400.0,42000.0,38613.55078125,248350,1321.1800537109375,468.739990234375,11.779999732971193,1374.300048828125,16.52883608262049,16.92333271554361,0.011976560351480679,108.70907531615707,40385.0,,,678.4525780623894,532.3002542656983,-202.20277438030462,,855.0785594892096,2200.0,,2.1897810218978186,-2.985074626865672,22.072205657551926,20.49861228388441
2006-09-19,42100.0,43350.0,42100.0,43300.0,39808.7265625,319070,1317.6400146484375,458.42999267578125,11.979999542236328,1373.949951171875,15.958922707299383,18.033409420446734,0.030482877246739058,172.93279627905162,40625.0,,,830.9146980468,629.0620036091204,19.182071133698628,,890.4300909542661,3300.0,,5.7387057387057405,-1.0869565217391304,22.552422380080408,21.510636904732984
2006-09-20,43400.0,43400.0,42450.0,43000.0,39532.921875,111220,1325.1800537109375,460.20001220703125,11.390000343322756,1366.43994140625,16.169707664590497,18.434923519460675,-0.0069523586629625465,150.5708241759403,40875.0,,,974.8851850101801,703.2644097312461,168.48151338958996,,894.6850844575329,1500.0,,3.6144578313253017,-8.602150537634408,23.01771048850482,22.48911921338831
2006-09-21,42750.0,43150.0,42600.0,42900.0,39440.98046875,142430,1318.030029296875,452.0799865722656,12.25,1366.7900390625,16.108304159530462,19.243967528840084,-0.0023284007769498478,124.17736199728651,41150.0,,,1022.7971006317568,728.1911539780743,275.5567856597045,,870.0647212819948,900.0,,2.508960573476693,-10.75268817204301,22.957914162647604,23.397709928568254
2006-09-22,42900.0,44350.0,42900.0,43750.0,40222.44140625,212890,1314.780029296875,449.2999877929688,12.59000015258789,1348.3800048828125,16.637712400367572,19.180192934951044,0.019619694620601043,136.14420156086115,41500.0,41479.166666666664,153829.5,972.4068616572895,749.1574225439844,424.1136880290578,,911.4886697618523,450.0,,4.415274463007157,-10.714285714285714,23.091868580282544,25.110132054054805
2006-09-25,43450.0,43700.0,42600.0,43000.0,39532.921875,54150,1326.3699951171875,460.5700073242188,12.119999885559082,1355.2099609375,16.315724572662745,18.98428090210407,-0.01729129384365111,88.07868201727204,41820.0,41542.5,134804.5,808.5832204992425,743.5178992808162,475.8421592525774,,928.5251933502914,0.0,9.693877551020403,2.7479091995221028,-24.107142857142858,22.941636937893712,26.193831516391192
2006-09-26,43200.0,43550.0,42900.0,43150.0,39670.82421875,98480,1336.3499755859375,458.989990234375,11.529999732971193,1343.969970703125,16.763178397829694,18.408949759955476,0.003482221230685407,78.82268801661886,42240.0,41580.0,128570.66666666667,609.429271899028,720.1719849729142,522.9132730686979,,908.6305366824134,250.0,5.5012224938875365,3.229665071770338,-21.428571428571427,23.233368702233356,27.200123874274983
2006-09-27,44400.0,44400.0,43150.0,43800.0,40268.41015625,159630,1336.5899658203125,455.7699890136719,11.579999923706055,1360.030029296875,16.790810256132037,18.007777304416635,0.014951283289219906,91.28592720665546,42640.0,41620.0,127774.16666666667,449.99090879379384,712.4380469019871,605.6850770777019,,933.0140697765268,50.0,5.797101449275366,5.4151624548736566,-10.619469026548673,23.79539414070718,28.716801521198228
2006-09-28,43800.0,43800.0,43100.0,43300.0,39808.7265625,211970,1338.8800048828125,460.1199951171875,11.720000267028807,1371.4300537109375,16.502180952122607,17.225611005821733,-0.011481145856942829,65.90606430624058,42970.0,41608.333333333336,126690.33333333333,378.76764789883265,700.7823742652948,623.746347146538,,916.370207649632,300.0,-1.5909090909090873,4.463208685162856,-19.469026548672566,24.398042798256075,30.03424956033407
2006-09-29,43350.0,44750.0,43100.0,44000.0,40452.29296875,112290,1335.8499755859375,454.70001220703125,11.979999542236328,1371.4100341796875,16.008451299850456,16.437681919937347,0.01603717977288263,82.42578907924052,43220.0,41608.333333333336,126278.5,340.40090170232145,656.4038816798056,686.6291502244421,,968.7723356746583,850.0,0.0,8.508014796547481,-12.5,25.93637909305764,31.82085516053315
2006-10-02,44000.0,44950.0,43800.0,44950.0,41325.6875,80910,1331.3199462890625,453.25,12.56999969482422,1374.219970703125,15.80570791738346,15.779816789680979,0.02136095159378129,111.13075011142382,43515.0,41617.5,123843.66666666667,405.6462619551342,607.1147412271886,803.8549457957415,,981.7171688407541,1150.0,1.2387387387387427,11.262376237623762,-0.0,27.138518372272095,33.58493490673812
2006-10-04,44750.0,46000.0,44000.0,45550.0,41877.30859375,135510,1350.199951171875,456.7699890136719,11.859999656677244,1352.0,16.704586969601603,15.486817765156813,0.013259839235272975,152.13055323432116,43740.0,41613.333333333336,121202.16666666667,507.5694405729002,558.4993562359643,934.401025564759,,1054.4516567807002,2250.0,-0.545851528384278,11.36919315403424,-6.923076923076923,28.23049825120902,35.70797995589176
2006-10-09,45350.0,45700.0,43350.0,45550.0,41877.30859375,118470,1350.6600341796875,456.3900146484375,11.68000030517578,1319.4000244140625,19.896403232375597,16.198516232317477,0.0,120.47556382590926,43995.0,41610.0,120860.0,609.3482080133493,529.6695584035718,1026.032272955701,,1146.9908241535072,1550.0,-0.43715846994535346,9.891435464414954,-7.563025210084033,28.60034152518144,36.579579825206466
2006-10-10,45000.0,46000.0,44700.0,46000.0,42291.0234375,158080,1353.4200439453125,454.7200012207031,11.520000457763672,1328.3699951171875,19.547375127607697,17.2945345103414,0.009830732430062853,152.8362175544808,44305.0,41618.333333333336,120311.33333333333,683.3492592308221,531.0584535648276,1122.0278967183403,,1157.9200509996851,1050.0,1.098901098901095,11.650485436893199,-0.0,29.02704557939225,37.55547887490009
2006-10-11,45900.0,46000.0,45400.0,46000.0,42291.0234375,44860,1349.949951171875,460.5700073242188,11.619999885559082,1325.489990234375,19.325424295390185,18.448679347893858,0.0,140.64171033129162,44530.0,41643.333333333336,117909.0,683.7123153444875,512.0566085234047,1184.4515005583744,,1118.068618785422,450.0,3.370786516853941,10.709987966305645,-0.0,29.98615387717429,38.461670849615594
2006-10-12,46000.0,46450.0,45750.0,46400.0,42658.765625,167770,1362.8299560546875,466.8500061035156,11.09000015258789,1331.780029296875,18.93788701313017,18.694040452474297,0.00865792578671602,135.39779379630596,44870.0,41700.0,117705.16666666667,620.5574824501593,513.1018722026471,1251.7696915947745,,1088.2065745864631,850.0,7.906976744186056,11.538461538461542,-1.25,31.024517715826008,39.5599162182637
2006-10-13,46450.0,46600.0,45800.0,46600.0,42842.65234375,63680,1365.6199951171875,471.2699890136719,10.75,1348.5999755859375,19.16732539891105,18.640626069007624,0.004301379009589628,120.46719733047064,45215.0,41759.166666666664,117116.5,530.2850982672899,518.9272694200953,1306.2010983430155,,1067.62039068743,600.0,8.24622531939605,12.56038647342994,-0.0,32.03039086682143,40.6630718050746
2006-10-16,46550.0,46650.0,45700.0,46650.0,42888.61328125,59220,1369.06005859375,475.4599914550781,11.09000015258789,1356.719970703125,18.5325185344799,17.759784495344164,0.0010722095741411456,103.82708173619334,45500.0,41861.666666666664,115053.5,408.88066137817805,509.114434695764,1337.9499087771837,,1059.2189342097565,650.0,15.18518518518519,12.004801920768315,-0.0,33.300098730230815,41.49006540640683
2006-10-17,46750.0,47150.0,46050.0,46650.0,42888.61328125,75250,1364.050048828125,463.739990234375,11.729999542236328,1351.300048828125,18.68519892096794,17.194466507456482,0.0,104.77155509805829,45835.0,41964.166666666664,114324.33333333333,320.25043079063596,501.7998450107293,1347.5770404987998,,1062.1318674804882,250.0,15.18518518518519,11.602870813397125,-10.989010989010989,34.37529312821341,42.55675474003562
2006-10-18,46300.0,46650.0,45900.0,46650.0,42888.61328125,42130,1365.800048828125,450.45001220703125,11.34000015258789,1354.260009765625,18.63054499413541,16.82980214008309,0.0,80.8658712950109,46100.0,42061.666666666664,112976.5,262.33655785995046,473.0244366022192,1339.7626617564893,,1039.8367340890247,50.0,14.338235294117641,12.817412333736389,-11.764705882352942,35.2199653704268,43.23980686657861
2006-10-19,47000.0,47800.0,46350.0,47000.0,43210.40234375,142480,1366.9599609375,449.0899963378906,10.899999618530273,1354.06005859375,17.913360767433772,16.385566171566683,0.0074748952346965335,110.79722867810179,46305.0,42188.333333333336,113487.33333333333,227.40680939308123,423.9821459216206,1346.2925626078795,,1069.134110225523,350.0,19.289340101522832,14.355231143552306,-17.02127659574468,36.61200876490861,44.50721600861898
2006-10-20,47450.0,47450.0,46600.0,46900.0,43118.46875,66520,1368.5999755859375,447.2300109863281,10.630000114440918,1364.239990234375,17.553826627795647,15.74926773854083,-0.0021298466512541803,96.33782871713781,46440.0,42302.5,113213.16666666667,184.699780555186,357.49243941123825,1328.08900843039,,1053.4816737808428,250.0,17.103620474406988,14.66992665036675,-19.148936170212767,37.859172743280986,45.6840959262279
2006-10-23,47000.0,47000.0,46450.0,46800.0,43026.5234375,143590,1377.02001953125,449.5499877929688,11.079999923706056,1364.949951171875,17.079976288310245,15.219826012003278,-0.002134664942903054,72.67581220422639,46565.0,42415.833333333336,112696.5,155.84093414070293,282.36079775944074,1290.714839106935,,1017.5186970822112,150.0,16.999999999999993,15.555555555555545,-21.27659574468085,39.142257892736644,46.46366062494014
2006-10-24,46700.0,47750.0,46700.0,47750.0,43899.921875,184870,1377.3800048828125,444.45001220703125,10.779999732971193,1366.5,16.599985654993443,14.681770266463193,0.020095790803126932,122.2916284531413,46740.0,42553.333333333336,109844.33333333333,182.859646243554,251.55503851709528,1322.507557282508,,1019.8387901477676,750.0,20.88607594936709,18.92901618929017,-1.1235955056179776,40.584529024276144,47.58412314181417
2006-10-25,47300.0,47700.0,47200.0,47350.0,43532.18359375,38430,1382.219970703125,455.989990234375,10.65999984741211,1371.4300537109375,16.072126746601054,13.951829986114998,-0.008412023198374183,119.53907329728618,46875.0,42676.666666666664,107168.16666666667,233.1539323746261,247.7452451172886,1300.436238960996,,986.2788765657841,450.0,18.523153942428028,17.639751552795026,-10.112359550561798,42.16626628883019,48.62455262176862
2006-10-26,47350.0,48300.0,47350.0,47900.0,44037.828125,212200,1389.0799560546875,461.2699890136719,10.5600004196167,1373.6500244140625,15.476974138584907,14.171588123107346,0.011548477407234407,142.14007327494022,47025.0,42808.333333333336,108914.33333333333,291.8509884071546,259.62889890011826,1312.1987532223648,,983.6875282396567,1100.0,19.75,20.351758793969843,-8.080808080808081,43.22854173797373,49.877503650741
